core_id,depth_cm,age_ad,C_percent,C/N,d13C_permille,d15N_permille,K_percent,Ti_percent
FCL16-1,5.5,1982.33302441548,14.3487118,16.0330619126177,-28.308959,2.63625234985712,0.9135,0.2702
FCL16-1,6,1978.41098299463,13.2591583,15.4417060138782,-28.4845715,2.90056988475692,0.9597,0.2895
FCL16-1,6.5,1973.63556698605,13.5565098,15.5074794235635,-28.6190405,2.62183122528957,1.022,0.2942
FCL16-1,7,1968.86015097746,13.1197355,15.8073158985887,-28.5206975,2.41994067813796,0.987,0.2955
FCL16-1,7.5,1963.10756788463,12.6103622,15.0915143008037,-28.7454815,2.66019674373181,1.0396,0.305233333333333
FCL16-1,8,1957.35498479179,12.6262891,15.1365641411821,-28.73996225,2.7371115915902,0.8873,0.2673
FCL16-1,8.5,1953.23189306109,13.5104808,15.2147795455774,-28.7274185,2.43814835915298,0.991,0.2895
FCL16-1,9,1949.10880133039,13.5165028,15.0247787356823,-28.7675585,2.60014338521338,0.8689,0.2558
FCL16-1,9.5,1945.42737590927,13.6739262,14.8008175238988,-28.75652,2.57124131188543,0.8749,0.2486
FCL16-1,10,1941.74595048815,13.7392408,14.6748662473311,-28.6411175,2.33556874869632,0.598066666666667,0.1873
FCL16-1,11,1932.59007023477,13.3197163,14.0601149217203,-28.6672085,2.17206530448334,0.4235,0.1423
FCL16-1,12,1923.18419945518,12.7528569,13.5941165691787,-28.557827,2.06744309536868,0.2452,0.1008
FCL16-1,13,1911.79827961339,12.449856,13.487269820016,-28.359134,1.98155334552854,NA,NA
FCL16-1,14,1899.61684174364,13.7693127,13.6341356982066,-28.4364035,1.78451882638763,0.18835,0.08565
FCL16-1,15,1882.55800901285,13.5940189,13.4268996508063,-28.543778,1.81416801272927,0.147833333333333,0.0739
FCL16-1,16,1864.71368575961,14.0748023,13.297101380131,-28.417337,1.7297048123895,0.1173,0.0655
FCL16-1,17,1849.8523458034,15.168339,13.6433863300966,-28.461491,1.63579264766086,0.1063,0.0633
FCL16-1,18,1830.54534133458,16.6187882,13.9929790875592,-28.628072,1.5795829156772,0.0886,0.0592
FCL16-1,19,1822.14209816902,16.3592833,13.8173193496386,-28.503638,1.69231039749895,0.0892,0.0622
FCL16-1,20,1813.73885500347,16.1051182,13.5368785826131,-28.4123195,1.67569244543142,0.0938,0.06195
FCL16-1,21,1805.33561183791,16.5149529,13.8011176806234,-28.567862,1.60291030691816,NA,NA
FCL16-1,22,1796.93236867235,18.5170947,14.1437302547715,-28.585925,1.33472051137051,0.0928,0.06005
FCL16-1,23,1788.52912550679,17.9783414,14.0514489920125,-28.525715,1.50965096886242,NA,NA
FCL16-1,24,1780.12588234124,17.3711918,13.7875246146385,-28.5748865,1.87201248265769,0.096,0.0643
FCL16-1,25,1771.72263917568,16.3111935,13.6059247589859,-28.561841,1.8573056828518,0.088725,0.058375
FCL16-1,26,1763.31939601012,17.5668802,13.6738640912789,-28.549799,1.63973632076589,NA,NA
FCL16-1,27,1754.91615284456,17.4777886,13.4266294350645,-28.6652015,1.68917895845881,0.1069,0.0636
FCL16-1,28,1746.51290967901,17.0549823,13.0746917938151,-28.740464,1.82529876542791,0.097,0.0609
FCL16-1,29,1738.10966651345,17.68521485,12.9664794425881,-28.7876285,2.12046138164587,0.0898,0.0576
FCL16-1,30,1729.70642334789,17.9535374,12.6775826332556,-29.1027275,2.34227545225928,0.0871333333333333,0.0556333333333333
FCL16-1,31,1721.30318018233,19.5073514,13.0762510613747,-28.846835,2.06836400218863,0.0853,0.056
FCL16-1,32,1712.89993701678,20.3747634,13.6123177573428,-28.6993205,1.87300575359127,0.0822,0.0568
FCL16-1,33,1704.49669385122,20.849903,13.8168793084345,-28.7274185,1.89401302085991,0.0912,0.0579
FCL16-1,34,1696.09345068566,18.8169354,13.4816514001385,-28.8638945,2.10595523687926,0.08895,0.05755
FCL16-1,35,1687.6902075201,19.8156978,13.3703153421041,-28.9301255,2.32191657573772,0.07325,0.0534
FCL16-1,36,1679.28696435455,20.7771216,13.3282452326319,-29.055563,2.24761106969399,0.0696,0.0578
FCL16-1,37,1670.88372118899,20.8529035,13.5282440786005,-29.0405105,2.23288866415925,0.0745,0.0586
FCL16-1,38,1662.48047802343,21.0749181,13.6489033136428,-29.1549095,2.23388462691032,0.0708,0.05415
FLE16-1,0,2016.45833333333,6.2635258,11.1271414795955,-28.6732295,8.26240689056021,1.9124,0.386766666666667
FLE16-1,0.5,2013.51757039804,6.1739854,11.0659713764549,-28.7133695,8.21864338276121,1.8652,0.373
FLE16-1,1,2010.57680746275,6.0548308,11.2292585347995,-28.708352,8.00860738348362,1.9027,0.3826
FLE16-1,1.5,2007.18381222788,5.7024077,11.0865623245976,-28.750499,7.78142455352364,2.0219,0.4031
FLE16-1,2,2003.79081699301,5.1133108,11.053749345257,-28.670219,7.47080459911484,1.98143333333333,0.3939
FLE16-1,2.5,2000.15166895216,4.8342815,10.9910726039254,-28.6110125,7.35897799314984,2.0705,0.4073
FLE16-1,3,1996.51252091131,4.572133,10.4632388732344,-28.559834,7.15122090046714,2.0447,0.4133
FLE16-1,3.5,1992.85341900844,4.3706392,11.3366326669302,-28.53575,6.71802228944457,2.1062,0.4272
FLE16-1,4,1989.19431710557,4.4337407,11.5771707323021,-28.50313625,6.45339948112573,2.0293,0.4099
FLE16-1,4.5,1985.09034898425,4.3217899,11.6992320144664,-28.427372,6.01429589157246,2.0686,0.4179
FLE16-1,5,1980.98638086293,4.5119056,11.97658888888,-28.521701,5.62940319683108,2.0092,0.402666666666667
FLE16-1,5.5,1977.35886803501,4.9971746,12.4829314304585,-28.393253,5.51352469326855,1.8904,0.3838
